0 708
1 15
2 14
3 1
4 5
5 1
6 1
7 2
16 4
19 1
20 2
21 6
22 2
23 2
24 1
25 5
26 3
27 1
30 1
32 2
34 1
42 1
45 1
46 3
50 1
52 1
58 1
64 2
65 1
73 1
88 3
90 2
100 7
111 6
136 2
150 1
157 1
185 2
215 1
218 1
227 1
256 1
300 3
350 2
368 1
630 1
731 1
750 1
752 1
760 1
806 1
1647 1
1823 1
1858 1
2190 13
2236 2
3162 1
3362 1
4121 1
4174 1
5401 1
5745 2
6937 1
7126 1
7216 2
11514 1
27223 1
46563 1
85784 1
1363640110 1
2147483647 4592
