-2147483648 1
0 681
1 17
2 10
3 1
4 5
5 2
6 1
7 2
8 1
12 3
16 3
20 2
22 2
23 1
24 1
25 5
26 2
27 1
30 1
32 2
34 2
45 1
46 4
50 1
64 3
73 5
88 3
90 2
94 1
97 3
100 8
111 6
136 2
141 1
150 1
157 1
182 2
218 1
227 1
247 1
256 1
282 1
300 4
368 7
392 2
396 1
462 1
642 1
750 1
773 1
806 1
1128 1
1416 1
1823 1
2190 13
2380 1
3001 1
3538 1
3750 1
3888 2
4121 1
4732 1
5162 1
5401 1
5711 4
5745 2
6937 1
7126 1
8616 2
9552 2
11514 1
12164 1
23098 1
25599 1
25820 1
26896 1
31517 1
39666 1
58773 1
63053 1
64800 1
102786 1
1393159864 1
2147483647 4592
