-2147483648 1
0 287
1 34
2 17
3 11
4 9
5 2
6 5
7 1
9 2
10 2
11 1
12 9
13 6
14 3
15 2
16 9
17 1
19 8
21 6
22 1
23 4
24 1
25 3
26 2
29 2
31 7
33 1
34 3
35 1
36 1
40 4
41 2
42 1
44 1
45 1
46 3
47 2
48 2
49 1
51 12
52 5
54 1
56 1
58 4
59 7
60 6
62 3
64 7
65 2
66 1
67 2
75 3
76 1
77 5
79 1
80 2
81 5
84 1
88 4
89 2
92 2
98 1
100 4
108 2
117 2
118 1
123 3
124 3
125 1
127 1
131 1
136 3
144 6
153 2
155 1
166 4
169 1
178 2
181 1
183 1
184 4
185 2
188 1
197 1
200 2
201 1
208 1
215 1
223 1
235 3
237 3
241 1
245 1
249 1
253 1
264 3
265 2
278 1
288 1
306 3
309 2
341 3
368 1
373 1
377 2
384 1
402 2
403 4
404 1
460 1
467 1
475 1
479 2
497 3
501 3
506 1
576 3
612 1
623 1
625 4
626 1
630 1
635 1
650 1
686 2
700 2
731 1
752 1
760 1
767 1
806 1
814 1
847 1
887 3
900 1
903 1
918 1
997 1
1030 1
1032 2
1149 1
1169 2
1183 1
1246 1
1247 2
1264 2
1268 1
1376 3
1393 1
1398 1
1418 1
1444 2
1584 1
1647 1
1858 1
1865 1
1868 1
1900 1
1909 2
1927 2
2007 4
2025 1
2034 3
2109 1
2152 1
2236 2
2256 2
2284 13
2352 1
2361 1
2420 1
2520 1
2540 2
2556 1
2756 1
2867 2
2904 1
3091 1
3158 1
3162 1
3253 2
3271 3
3692 1
3768 1
3797 1
3819 1
3918 1
4044 2
4064 1
4095 1
4310 1
4670 1
4761 1
4803 1
4878 1
4970 1
4998 1
5169 1
5241 2
5501 1
5640 1
5715 1
5868 1
5898 2
5944 1
6006 1
6348 2
6570 3
7140 3
7216 2
7259 1
7603 1
7671 1
7831 1
8001 1
8172 1
8527 1
8603 1
8686 1
8717 1
8911 1
9176 1
9586 1
9969 1
10000 3
10567 1
10750 1
11163 1
12122 1
12791 1
13390 1
14232 1
14946 2
15807 1
15926 1
16148 1
16934 1
17071 1
19432 1
19909 2
19993 2
20040 1
20853 1
21508 1
21550 1
23777 1
24336 1
25153 2
26901 1
27223 1
27989 1
28662 1
30214 1
31969 1
33782 1
34002 1
35377 1
35986 1
37403 1
39561 1
41738 1
44752 1
45415 1
46563 1
50535 1
54849 1
62082 1
71984 1
98700 1
109494 1
142053 1
240416 1
253512 1
279517 1
457271 1
504579 1
508511 1
725019 1
1051300 1
2897692 1
4991454 1
5415007 1
10109824 1
12555375 1
1363640110 1
2147483647 4592
