-2147483648 1
0 393
1 5
2 4
3 1
4 1
6 3
7 2
9 2
10 1
12 3
13 1
14 1
16 1
19 1
20 5
22 1
24 2
26 1
27 2
34 1
36 2
37 1
40 1
41 1
44 1
49 3
51 2
56 1
59 2
62 2
63 1
68 1
70 1
71 2
72 3
75 1
86 2
90 1
92 2
94 2
99 2
100 7
104 1
110 1
114 1
119 1
128 1
134 1
144 1
146 1
147 2
166 2
167 3
170 12
180 1
184 1
192 1
198 1
200 1
201 1
203 1
213 1
222 1
246 1
253 1
259 1
284 1
290 1
301 2
305 1
317 1
339 1
350 2
353 1
361 2
363 2
366 1
368 1
402 3
403 1
416 1
419 4
429 2
436 3
439 1
457 3
461 1
466 1
467 1
475 1
478 1
480 1
486 3
488 1
501 1
504 1
526 1
527 2
542 1
561 1
594 1
595 1
621 1
625 1
640 1
651 1
652 1
661 1
693 2
800 1
803 2
837 1
846 1
894 1
897 1
945 1
954 1
1043 8
1126 2
1167 1
1250 6
1274 1
1298 9
1330 3
1332 5
1333 1
1466 1
1478 1
1482 1
1501 2
1600 1
1612 1
1658 1
1681 1
1722 1
1749 1
1753 2
1764 6
1765 1
1795 1
1840 1
1913 1
1934 1
1936 1
2064 1
2143 1
2190 1
2212 1
2288 2
2304 2
2378 1
2393 1
2396 2
2440 1
2500 1
2503 1
2532 1
2621 1
2704 3
2771 2
2809 2
3001 1
3025 1
3038 1
3225 6
3360 1
3362 1
3546 1
3654 2
3866 1
3877 2
3981 1
4121 1
4174 1
4323 1
4379 1
4556 1
4570 1
4624 1
4633 1
4962 1
4970 1
5126 1
5141 1
5691 2
6062 1
6146 1
6204 1
6405 1
6406 3
6438 2
6513 1
6724 3
6915 3
6916 6
7026 2
7123 1
7182 1
7300 1
7532 1
7569 6
7954 1
8063 1
8118 4
8244 2
8443 1
8611 1
8661 1
8945 2
9035 1
9063 1
9619 1
9700 1
9702 2
9840 1
9900 1
9920 1
10241 1
10404 9
10836 1
10920 4
11236 1
11649 1
12454 1
13456 1
14280 1
14400 1
14511 2
14616 1
15300 1
15750 1
16140 3
16179 1
16302 1
16377 1
16384 1
16732 4
17161 1
17322 1
17344 1
17671 2
18099 1
19259 1
19663 1
20000 1
21141 1
21604 1
21792 1
21943 1
22022 1
23315 1
24494 1
25748 1
26384 1
28263 1
28994 1
29070 1
30070 1
30477 1
32359 1
32400 1
32621 1
32632 3
33222 1
36404 1
36469 1
36557 2
41412 1
44113 3
51915 1
56733 1
58618 1
64719 1
64866 1
66151 1
66245 1
67238 1
68644 2
69694 1
69960 1
73695 2
75350 1
78960 1
79524 1
80671 1
81196 1
83304 1
85784 1
93330 1
103208 1
114244 3
140986 1
190096 1
190794 1
199049 1
199066 1
1552048 1
1567112 1
2093809 1
1388288953 1
2147483647 4592
